"","stopid","displaystopid","shortname","fullname","shortnamelocalized","fullnamelocalized"
"1","2","2","Parnell Square","Parnell Square","Cearnóg Parnell",""
"2","3","3","Parnell Square","Parnell Square","Cearnóg Parnell",""
"3","4","4","Parnell Square","Parnell Square","Cearnóg Parnell",""
"4","6","6","Parnell Square","Parnell Square","Cearnóg Parnell",""
"5","7","7","Parnell Square","Parnell Square","Cearnóg Parnell",""
"6","8","8","Parnell Square","Parnell Square","Cearnóg Parnell",""
"7","10","10","Parnell Square","Parnell Square","Cearnóg Parnell",""
"8","11","11","Dorset St","Dorset St","Sráid Dorset",""
"9","12","12","Dorset St","Dorset St","Sráid Dorset",""
"10","14","14","Dorset St","Dorset St","Sráid Dorset",""
"11","15","15","Dorset St","Dorset St","Sráid Dorset",""
"12","16","16","Nephin Road","Nephin Road","Bóthar Néifinne",""
"13","17","17","Drumcondra Rd","Drumcondra Rd","Br Dhroim Conrach",""
"14","18","18","Drumcondra Rd","Drumcondra Rd","Br Dhroim Conrach",""
"15","19","19","Drumcondra Rd","Drumcondra Rd","Br Dhroim Conrach",""
"16","21","21","Drumcondra Rd","Drumcondra Rd","Br Dhroim Conrach",""
"17","22","22","Home Farm Road","Home Farm Road","Bóthar na Buaile",""
"18","23","23","Home Farm Road","Home Farm Road","Bóthar na Buaile",""
"19","24","24","Home Farm Road","Home Farm Road","Bóthar na Buaile",""
"20","25","25","Home Farm Road","Home Farm Road","Bóthar na Buaile",""
"21","27","27","Ballymun Road","Ballymun Road","Bóthar Bhaile Munna",""
"22","28","28","Ballymun Road","Ballymun Road","Bóthar Bhaile Munna",""
"23","29","29","Ballymun Road","Ballymun Road","Bóthar Bhaile Munna",""
"24","30","30","Ventry Park","Ventry Park","Páirc Fhionntrá",""
"25","31","31","St. Pappin's Road","St. Pappin's Road","Bóthar Phapáin",""
"26","32","32","St. Pappin's Road","St. Pappin's Road","Bóthar Phapáin",""
"27","33","33","Glasnevin Drive","Glasnevin Drive","Céide Ghlas Naíon",""
"28","35","35","St. Pappin's Road","St. Pappin's Road","Bóthar Phapáin",""
"29","36","36","St. Pappin's Road","St. Pappin's Road","Bóthar Phapáin",""
"30","37","37","Ballymun Road","Ballymun Road","Bóthar Bhaile Munna",""
"31","38","38","Ballymun Road","Ballymun Road","Bóthar Bhaile Munna",""
